tag,roadmap_item,coverage_method,simulation_backend,vector_id,category,expected_behavior,evidence,status
20260513_tetc_pivot,R7_rtl_control_plane_upgrade,yosys_plus_static_contract_vectors,not_available,r7_contract_reset_defaults,state_reset,"reset initializes thresholds, budgets, sideband group, ready state, and output zeros",reset assignment block,pass
20260513_tetc_pivot,R7_rtl_control_plane_upgrade,yosys_plus_static_contract_vectors,not_available,r7_contract_config_update,configuration,"cfg_valid_i updates thresholds, budgets, sideband group, queue limit, and score guard",cfg_valid_i case statement,pass
20260513_tetc_pivot,R7_rtl_control_plane_upgrade,yosys_plus_static_contract_vectors,not_available,r7_contract_keep_low_slack,tiering,low slack maps to KEEP,tier combinational decision,pass
20260513_tetc_pivot,R7_rtl_control_plane_upgrade,yosys_plus_static_contract_vectors,not_available,r7_contract_degrade_mid_slack,tiering,mid slack with degrade budget maps to DEGRADE,tier combinational decision,pass
20260513_tetc_pivot,R7_rtl_control_plane_upgrade,yosys_plus_static_contract_vectors,not_available,r7_contract_prune_high_slack,tiering,high slack with prune budget or queue pressure maps to PRUNE,tier combinational decision,pass
20260513_tetc_pivot,R7_rtl_control_plane_upgrade,yosys_plus_static_contract_vectors,not_available,r7_contract_score_guard_keep,guard,selector-score guard forces KEEP,selector guard expression,pass
20260513_tetc_pivot,R7_rtl_control_plane_upgrade,yosys_plus_static_contract_vectors,not_available,r7_contract_queue_pressure_prune,guard,queue pressure can force PRUNE and is encoded into command bit 31,queue guard and command encoder,pass
20260513_tetc_pivot,R7_rtl_control_plane_upgrade,yosys_plus_static_contract_vectors,not_available,r7_contract_overflow_fallback,overflow,empty budget fallback raises overflow flag and command bit 30,overflow decision and command encoder,pass
20260513_tetc_pivot,R7_rtl_control_plane_upgrade,yosys_plus_static_contract_vectors,not_available,r7_contract_tile_not_ready_wait,handshake,ISSUE moves to WAIT when tile_ready_i is low,issue state transition,pass
20260513_tetc_pivot,R7_rtl_control_plane_upgrade,yosys_plus_static_contract_vectors,not_available,r7_contract_ready_only_idle,handshake,ready_o is asserted only while state is IDLE,ready assignment,pass
20260513_tetc_pivot,R7_rtl_control_plane_upgrade,yosys_plus_static_contract_vectors,not_available,r7_contract_command_bit_layout,encoding,"command bits carry tier, kernel id, sideband group, deadline delta, overflow, and queue pressure",sideband command encoder,pass
