case_id,adc_bits,stimulus,case_kind,sample_rate_gsps,mismatch_sigma_lsb,clock_jitter_fs
adc4_ramp_nominal,4,ramp,nominal,1.0,0.1,50.0
adc4_ramp_low_rate,4,ramp,low_rate,0.5,0.1,50.0
adc4_ramp_high_rate,4,ramp,high_rate,4.0,0.1,50.0
adc4_ramp_mismatch_stress,4,ramp,mismatch_stress,1.0,1.0,50.0
adc4_ramp_jitter_stress,4,ramp,jitter_stress,1.0,0.1,250.0
adc4_ramp_combined_stress,4,ramp,combined_stress,4.0,1.0,250.0
adc4_sine_nominal,4,sine,nominal,1.0,0.1,50.0
adc4_sine_low_rate,4,sine,low_rate,0.5,0.1,50.0
adc4_sine_high_rate,4,sine,high_rate,4.0,0.1,50.0
adc4_sine_mismatch_stress,4,sine,mismatch_stress,1.0,1.0,50.0
adc4_sine_jitter_stress,4,sine,jitter_stress,1.0,0.1,250.0
adc4_sine_combined_stress,4,sine,combined_stress,4.0,1.0,250.0
adc6_ramp_nominal,6,ramp,nominal,1.0,0.1,50.0
adc6_ramp_low_rate,6,ramp,low_rate,0.5,0.1,50.0
adc6_ramp_high_rate,6,ramp,high_rate,4.0,0.1,50.0
adc6_ramp_mismatch_stress,6,ramp,mismatch_stress,1.0,1.0,50.0
adc6_ramp_jitter_stress,6,ramp,jitter_stress,1.0,0.1,250.0
adc6_ramp_combined_stress,6,ramp,combined_stress,4.0,1.0,250.0
adc6_sine_nominal,6,sine,nominal,1.0,0.1,50.0
adc6_sine_low_rate,6,sine,low_rate,0.5,0.1,50.0
adc6_sine_high_rate,6,sine,high_rate,4.0,0.1,50.0
adc6_sine_mismatch_stress,6,sine,mismatch_stress,1.0,1.0,50.0
adc6_sine_jitter_stress,6,sine,jitter_stress,1.0,0.1,250.0
adc6_sine_combined_stress,6,sine,combined_stress,4.0,1.0,250.0
adc8_ramp_nominal,8,ramp,nominal,1.0,0.1,50.0
adc8_ramp_low_rate,8,ramp,low_rate,0.5,0.1,50.0
adc8_ramp_high_rate,8,ramp,high_rate,4.0,0.1,50.0
adc8_ramp_mismatch_stress,8,ramp,mismatch_stress,1.0,1.0,50.0
adc8_ramp_jitter_stress,8,ramp,jitter_stress,1.0,0.1,250.0
adc8_ramp_combined_stress,8,ramp,combined_stress,4.0,1.0,250.0
adc8_sine_nominal,8,sine,nominal,1.0,0.1,50.0
adc8_sine_low_rate,8,sine,low_rate,0.5,0.1,50.0
adc8_sine_high_rate,8,sine,high_rate,4.0,0.1,50.0
adc8_sine_mismatch_stress,8,sine,mismatch_stress,1.0,1.0,50.0
adc8_sine_jitter_stress,8,sine,jitter_stress,1.0,0.1,250.0
adc8_sine_combined_stress,8,sine,combined_stress,4.0,1.0,250.0
