case_id,adc_bits,stimulus,corner,temperature_c,vdd_v,sample_rate_gsps,mismatch_sigma_lsb,clock_jitter_fs
adc4_ramp_nominal,4,ramp,nominal,25.0,1.0,1.0,0.1,50.0
adc4_ramp_low_temp,4,ramp,low_temp,-40.0,1.0,1.0,0.08,40.0
adc4_ramp_high_temp,4,ramp,high_temp,125.0,1.0,1.0,0.18,75.0
adc4_ramp_vdd_low,4,ramp,vdd_low,25.0,0.9,1.0,0.12,60.0
adc4_ramp_vdd_high,4,ramp,vdd_high,25.0,1.1,1.0,0.1,50.0
adc4_ramp_combined_stress,4,ramp,combined_stress,125.0,0.9,4.0,1.0,250.0
adc4_sine_nominal,4,sine,nominal,25.0,1.0,1.0,0.1,50.0
adc4_sine_low_temp,4,sine,low_temp,-40.0,1.0,1.0,0.08,40.0
adc4_sine_high_temp,4,sine,high_temp,125.0,1.0,1.0,0.18,75.0
adc4_sine_vdd_low,4,sine,vdd_low,25.0,0.9,1.0,0.12,60.0
adc4_sine_vdd_high,4,sine,vdd_high,25.0,1.1,1.0,0.1,50.0
adc4_sine_combined_stress,4,sine,combined_stress,125.0,0.9,4.0,1.0,250.0
adc6_ramp_nominal,6,ramp,nominal,25.0,1.0,1.0,0.1,50.0
adc6_ramp_low_temp,6,ramp,low_temp,-40.0,1.0,1.0,0.08,40.0
adc6_ramp_high_temp,6,ramp,high_temp,125.0,1.0,1.0,0.18,75.0
adc6_ramp_vdd_low,6,ramp,vdd_low,25.0,0.9,1.0,0.12,60.0
adc6_ramp_vdd_high,6,ramp,vdd_high,25.0,1.1,1.0,0.1,50.0
adc6_ramp_combined_stress,6,ramp,combined_stress,125.0,0.9,4.0,1.0,250.0
adc6_sine_nominal,6,sine,nominal,25.0,1.0,1.0,0.1,50.0
adc6_sine_low_temp,6,sine,low_temp,-40.0,1.0,1.0,0.08,40.0
adc6_sine_high_temp,6,sine,high_temp,125.0,1.0,1.0,0.18,75.0
adc6_sine_vdd_low,6,sine,vdd_low,25.0,0.9,1.0,0.12,60.0
adc6_sine_vdd_high,6,sine,vdd_high,25.0,1.1,1.0,0.1,50.0
adc6_sine_combined_stress,6,sine,combined_stress,125.0,0.9,4.0,1.0,250.0
adc8_ramp_nominal,8,ramp,nominal,25.0,1.0,1.0,0.1,50.0
adc8_ramp_low_temp,8,ramp,low_temp,-40.0,1.0,1.0,0.08,40.0
adc8_ramp_high_temp,8,ramp,high_temp,125.0,1.0,1.0,0.18,75.0
adc8_ramp_vdd_low,8,ramp,vdd_low,25.0,0.9,1.0,0.12,60.0
adc8_ramp_vdd_high,8,ramp,vdd_high,25.0,1.1,1.0,0.1,50.0
adc8_ramp_combined_stress,8,ramp,combined_stress,125.0,0.9,4.0,1.0,250.0
adc8_sine_nominal,8,sine,nominal,25.0,1.0,1.0,0.1,50.0
adc8_sine_low_temp,8,sine,low_temp,-40.0,1.0,1.0,0.08,40.0
adc8_sine_high_temp,8,sine,high_temp,125.0,1.0,1.0,0.18,75.0
adc8_sine_vdd_low,8,sine,vdd_low,25.0,0.9,1.0,0.12,60.0
adc8_sine_vdd_high,8,sine,vdd_high,25.0,1.1,1.0,0.1,50.0
adc8_sine_combined_stress,8,sine,combined_stress,125.0,0.9,4.0,1.0,250.0
